,phrase,label,sentiment,subjectivity,language,count
Das Jahr,Das Jahr,PERSON,0.0,0.0,de,2.5
Gwalia Lightning,Gwalia Lightning,PERSON,0.0,0.0,en,2.4
Markus Söder,Markus Söder,PERSON,0.10526315789473685,0.3157894736842105,de,1.9
Sachschäden angerichtet,Sachschäden angerichtet,PERSON,0.0,0.0,de,1.9
Boris Rhein,Boris Rhein,PERSON,0.10526315789473685,0.3157894736842105,de,1.9
zur Flucht,zur Flucht,PERSON,0.0,0.0,de,1.9
Kaum Sonne,Kaum Sonne,PERSON,0.0,0.0,de,1.9
heißt es,heißt es,PERSON,0.0,0.0,de,1.9
einige Schlagzeilen,einige Schlagzeilen,PERSON,0.2105263157894737,0.631578947368421,de,1.9
Schafft es die,Schafft es die,PERSON,0.0,0.0,de,1.9
Deutschlands Nordosten,Deutschlands Nordosten,PERSON,0.0,0.0,de,1.9
Medien blicken,Medien blicken,PERSON,0.0,0.0,de,1.9
ihnen zu helfen,ihnen zu helfen,PERSON,0.0,0.0,de,1.9
Milliarden-Schäden durch Unwetter,Milliarden-Schäden durch Unwetter,PERSON,0.0,0.0,de,1.9
Milliardenschaden durch Unwetter,Milliardenschaden durch Unwetter,PERSON,0.0,0.0,de,1.9
Warum Experten,Warum Experten,PERSON,0.0,0.0,de,1.9
gebietsweise herrscht Unwetter-Gefahr,gebietsweise herrscht Unwetter-Gefahr,PERSON,0.0,0.0,de,1.9
teils lebensgefährliche Zustände,teils lebensgefährliche Zustände,PERSON,0.0,0.0,de,1.9
Nun warnen,Nun warnen,PERSON,0.0,0.0,de,1.9
Wetterdienst warnt,Wetterdienst warnt,PERSON,0.0,0.0,de,1.9
Ministerpräsident werden,Ministerpräsident werden,PERSON,0.0,0.0,de,1.9
herrscht Unwetter-Gefahr,herrscht Unwetter-Gefahr,PERSON,0.0,0.0,de,1.9
drohenden Überschwemmungen gewarnt,drohenden Überschwemmungen gewarnt,PERSON,0.0,0.0,de,1.9
hohe Auszeichnung,hohe Auszeichnung,PERSON,0.0,0.0,de,1.9
Seit vielen Jahren,Seit vielen Jahren,PERSON,0.0,0.0,de,1.9
weitet sich,weitet sich,PERSON,0.0,0.0,de,1.9
denn Putin,denn Putin,PERSON,0.0,1.0526315789473684,de,1.9
Vor allem,Vor allem,PERSON,0.0,0.0,de,1.9
Die Mit­ar­bei­te­r,Die Mit­ar­bei­te­r,PERSON,0.0,0.0,de,1.9
Sascha Pallenberg,Sascha Pallenberg,PERSON,0.0,0.0,de,1.9
einen Arbeitskampf zu,einen Arbeitskampf zu,PERSON,0.0,0.0,de,1.9
das Glatteis-Risiko,das Glatteis-Risiko,PERSON,0.0,0.0,de,1.9
Orkanartige Böen erwartet - Unwetterwarnung,Orkanartige Böen erwartet - Unwetterwarnung,PERSON,0.0,0.0,de,1.9
Schnee und Regen,Schnee und Regen,PERSON,0.0,0.0,de,1.9
Dabei wird es nahezu überall,Dabei wird es nahezu überall,PERSON,0.0,0.0,de,1.9
m Westen,m Westen,PERSON,0.0,0.0,de,1.9
noch immer,noch immer,PERSON,0.0,0.0,de,1.9
auch statistisch,auch statistisch,PERSON,0.0,0.0,de,1.9
das Kraftfahrt-Bundesamt,das Kraftfahrt-Bundesamt,PERSON,0.0,0.0,de,1.9
alternativen Antrieben,alternativen Antrieben,PERSON,0.0,0.0,de,1.9
Schnee fällt,Schnee fällt,PERSON,0.0,0.0,de,1.9
das Gewitter-Risiko,das Gewitter-Risiko,PERSON,0.0,0.0,de,1.9
Wie beeinflussen,Wie beeinflussen,PERSON,0.0,0.0,de,1.9
Straßen einstellen,Straßen einstellen,PERSON,0.0,0.0,de,1.9
sind möglich,sind möglich,PERSON,0.0,0.0,de,1.9
Mehr als,Mehr als,PERSON,0.0,0.0,de,1.9
hohe Ehrung,hohe Ehrung,PERSON,0.0,0.0,de,1.9
Notfallpaket gegen,Notfallpaket gegen,PERSON,0.0,0.0,de,1.9
Die Zahl der Todesopfer steigt,Die Zahl der Todesopfer steigt,PERSON,0.0,0.0,de,1.9
Deutschen Versicherungswirtschaft,Deutschen Versicherungswirtschaft,PERSON,0.0,0.0,de,1.9
Der Gesamtverband,Der Gesamtverband,PERSON,0.0,0.0,de,1.9
Südspanien ziehen seit vergangener Woche Unwetter,Südspanien ziehen seit vergangener Woche Unwetter,PERSON,0.0,0.0,de,1.9
Jan Zimmermann,Jan Zimmermann,PERSON,0.0,0.0,de,1.9
Wetterextreme wie Starkregen,Wetterextreme wie Starkregen,PERSON,0.0,0.0,de,1.9
Schäden verursacht als,Schäden verursacht als,PERSON,0.0,0.0,de,1.9
das Unwetter,das Unwetter,PERSON,0.0,0.0,de,1.9
Milliarden Euro,Milliarden Euro,PERSON,0.0,0.0,de,1.9
Südosten ein Mensch,Südosten ein Mensch,PERSON,0.0,0.0,de,1.9
Diese zeigt,Diese zeigt,PERSON,0.0,0.0,de,1.9
Berlin beurteilen sie regelmäßig,Berlin beurteilen sie regelmäßig,PERSON,0.0,0.0,de,1.9
dass sich,dass sich,PERSON,0.0,0.0,de,1.9
Welche Landkreise besonders,Welche Landkreise besonders,PERSON,0.0,0.0,de,1.9
durch plötzlich gefriere,durch plötzlich gefriere,PERSON,0.0,0.0,de,1.9
